,gene_name,Python_coef,aod_coef,coef_diff,Python_intercept,aod_intercept,intercept_diff,Python_phi,aod_phi,phi_diff,Python_NLL,aod_NLL,NLL_diff
46,TSC22D1-AS1,-1.5739117335132369,-1.52950087262591,0.04441086088732682,1.673983310687977,1.6496728088649,0.024310501823076924,0.9999999618530272,0.999999897950553,6.390247420107187e-08,35.96295064379529,35.96571302697876,-0.002762383183473105
47,TSC22D1,-0.9868992719766544,-0.986926896787276,2.7624810621573737e-05,2.686068429957209,2.68598159668765,8.683326955916115e-05,0.8770331555306938,0.876960416322104,7.273920858985594e-05,679.2728784906694,679.272882079573,-3.588903609852423e-06
48,TRPV3,0.826674506993264,0.793297881628518,0.03337662536474595,1.8123714949149945,1.83769075329611,0.025319258381115484,0.9999999618530272,0.99999973758582,2.2426720724944005e-07,63.53264981197998,63.53517492561031,-0.0025251136303339194
49,TRIM41,0.2927655572999143,0.293221918314893,0.0004563610149787012,3.2531171932527663,3.25292269183898,0.00019450141378607455,0.3240598860740671,0.323756351308758,0.00030353476530908807,336.4071541627327,336.4071566982012,-2.5354685249112663e-06
50,TRIM36,1.7578743031343778,1.75775331956712,0.00012098356725775972,0.1053594987264764,0.105389184034427,2.9685307950597095e-05,0.9999999618530272,0.999999954615715,7.237312193986156e-09,39.5771582574292,39.57715829738973,-3.9960532660643366e-08
51,TRIM34,0.255484809908244,0.255665323727632,0.00018051381938799516,1.675652195392301,1.67559317956418,5.901582812084527e-05,0.2246093750000004,0.22482138042893,0.0002120054289296014,1347.1160981635353,1347.116105973687,-7.81015160100651e-06
52,TRIM16L,-0.2280572324965716,-0.268526211758588,0.0404689792620164,3.637575769805869,3.63154264008913,0.006033129716738639,0.9999999237060546,0.999999918628661,5.077393616659265e-09,27.00464405008404,27.00892345291285,-0.0042794028288106745
53,TRABD2A,-0.0371474770806274,-0.0368992173664626,0.0002482597141647974,3.0962453286200877,3.09600647986611,0.0002388487539777273,0.5935181932523865,0.593726794820525,0.00020860156813851116,223.07159006293216,223.07159107817603,-1.0152438676414022e-06
54,TPRG1,-3.1648185148203725,-3.16394485479993,0.0008736600204426459,3.9120406441648905,3.91166482748241,0.0003758166824803233,0.9999999618530272,0.999999566468124,3.953849031512746e-07,22.50432155887945,22.504323192661275,-1.6337818244949176e-06
55,TPRA1,-0.1285636716523908,-0.129005602419886,0.0004419307674952133,2.6716235818676326,2.67210257096308,0.000478989095447524,0.5043839721679703,0.504179036733089,0.00020493543488131483,946.192469316966,946.192481550068,-1.2233101983838424e-05
